"id","name","parent","count","status","message"
"1761","Portable Speakers","1759","0","unknown",""
"1760","Home Theatre Systems","1759","0","unknown",""
"1731","Tower Fans","1728","0","unknown",""
"1729","Stand Fans","1728","0","unknown",""
"1759","Speakers","1758","0","unknown",""
"1757","Air Purifiers","1727","0","unknown",""
"1746","Gas Cooktops","1744","0","unknown",""
"1745","Electric Cooktops","1744","0","unknown",""
"1742","Water Pumps","1741","0","unknown",""
"1738","Solar Panels","1737","0","unknown",""
"1733","Air Conditioners","1727","0","unknown",""
"1728","Fans","1727","0","unknown",""
"1722","Compact Refrigerators","1719","0","unknown",""
"1720","Top-Freezer Refrigerators","1719","0","unknown",""
"1715","Washing Machines","1714","0","unknown",""
"1762","Water Dispensers","1726","0","unknown",""
"1758","Audio Components","1578","0","unknown",""
"1756","Vacuums","1755","0","unknown",""
"1753","Irons","1713","0","unknown",""
"1752","Water Kettles","1749","0","unknown",""
"1751","Mixers","1749","0","unknown",""
"1750","Blenders","1749","0","unknown",""
"1747","Microwave Ovens","1743","0","unknown",""
"1744","Cooktops & Ranges","1743","0","unknown",""
"1741","Pumps & Pump Accessories","1740","0","unknown",""
"1737","Outdoor Power Equipment","1736","0","unknown",""
"1734","Power Generators","1726","0","unknown",""
"1727","Climate Control","1726","0","unknown",""
"1724","Televisions","1723","0","unknown",""
"1719","Refrigerators","1718","0","unknown",""
"1714","Washing Machines & Dryers","1713","0","unknown",""
"1755","Household Appliances","1712","0","unknown",""
"1749","Kitchen Appliances","1712","0","unknown",""
"1743","Cooking Appliances","1712","0","unknown",""
"1740","Heavy Machinery","1739","0","unknown",""
"1736","Lawn & Garden","1599","0","unknown",""
"1726","Household Appliances","1599","0","unknown",""
"1723","Video","1553","0","unknown",""
"1718","Food Preparation Appliances","1712","0","unknown",""
"1713","Laundry Appliances","1712","0","unknown",""
"1739","Business & Industrial","0","0","unknown",""
"1712","Appliances","0","0","unknown",""
"332","Todelete","0","0","skipped_500","Default product category cannot be deleted."
