"id","name","status","message"
"1702","Electric Mowers","unknown",""
"1665","Combo Kits","unknown",""
"1659","Impact Wrenches","unknown",""
"1710","Cordless Drills","unknown",""
"1709","Security Fencing","unknown",""
"1708","Ball Valves","unknown",""
"1707","Check Valves","unknown",""
"1706","Float Valves","unknown",""
"1705","Hoisting Equipment","unknown",""
"1704","Fastening Tools","unknown",""
"1703","Multimeters","unknown",""
"1701","Lawn Mowers","unknown",""
"1699","Petrol Generators","unknown",""
"1696","Polishing Machines","unknown",""
"1695","Wrench Sets","unknown",""
"1694","Pipe Cutters","unknown",""
"1693","Spirit Levels","unknown",""
"1692","Angle Grinders","unknown",""
"1691","Cooler Boxes","unknown",""
"1689","Hard Hats","unknown",""
"1688","Work Gloves","unknown",""
"1687","Laundry Accessories & Appliances","unknown",""
"1685","Rotary Hammers","unknown",""
"1683","Jig Saws","unknown",""
"1682","Reciprocating Saws","unknown",""
"1681","Elbows","unknown",""
"1680","PPR Pipes","unknown",""
"1679","Mountain Bikes","unknown",""
"1676","Cordless Grinders","unknown",""
"1675","Solar Flood Lights","unknown",""
"1672","Eye Protection","unknown",""
"1670","MMA Welders","unknown",""
"1668","Tape Measures","unknown",""
"1666","Hammers","unknown",""
"1664","Circular Saw Blades","unknown",""
"1662","Cordless Screwdrivers","unknown",""
"1661","Socket Sets","unknown",""
"1658","Cordless Tools","unknown",""
"1656","Tool Sets","unknown",""
"1654","Accessories","unknown",""
"1646","Sediment Filters","unknown",""
"1643","Adapters","unknown",""
"1641","Multipurpose Ladders","unknown",""
"1639","Drippers","unknown",""
"1636","Sealants & Tape","unknown",""
"1634","PVC Pipes","unknown",""
"1629","Drain Accessories","unknown",""
"1624","Hair Dryers","unknown",""
"1614","Booster Pumps","unknown",""
"1612","Pressure Washers","unknown",""
"1609","Solar Pumps","unknown",""
"1607","Pump Controllers","unknown",""
"1605","Petrol Pumps","unknown",""
"1604","Submersible Pumps","unknown",""
"1603","Surface Pumps","unknown",""
"1580","Headphones & Earbuds","unknown",""
"1555","Smart TVs","unknown",""
"1700","Garden Tools","unknown",""
"1698","Generators","unknown",""
"1690","Camping & Hiking","unknown",""
"1684","Drills & Drivers","unknown",""
"1678","Cycling","unknown",""
"1674","Outdoor & Solar Lighting","unknown",""
"1667","Measuring Tools","unknown",""
"1663","Saws & Cutting Tools","unknown",""
"1642","Fittings & Supply Lines","unknown",""
"1638","Irrigation","unknown",""
"1633","Pipes","unknown",""
"1628","Drainage & Sewerage","unknown",""
"1595","Rotary Tools","unknown",""
"1582","CCTV & Smart Cameras","unknown",""
