"sku","title","product_id","status","bad_phrase_present","short_length","long_length"
"HSP-042","Von Twin Tub Washing Machine 7kg VAWM-707S","47042","updated","no","281","2867"
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","47043","updated","no","255","2791"
"HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","47044","updated","no","237","2743"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","47055","updated","no","254","2774"
"HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","47056","updated","no","309","2761"
"HSP-047","Sonar Bar Fridge 90L SD-90","47045","updated","no","245","2769"
"HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","47058","updated","no","230","2706"
"HSP-049","Vitro Full HD TV 32 inch VT-3200S","47046","updated","no","218","2745"
"HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","47060","updated","no","230","2727"
"HSP-051","Nunix 18 Inch Standing Fan NX-F18","47061","updated","no","237","2718"
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","47047","updated","no","249","2728"
"HSP-053","Electromate Air Cooler 20L EM-AC20","47048","updated","no","250","2731"
"HSP-054","Sonar 3kVA Petrol Generator SN-G3000","47064","updated","no","235","2768"
"HSP-055","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","47065","updated","no","264","2815"
"HSP-056","Electromate 1kVA Silent Generator EM-G1000S","47066","updated","no","253","2773"
"HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","47049","updated","no","264","2840"
"HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","47068","updated","no","272","2835"
"HSP-059","Solarmax Solar Water Pump Kit 0.5HP SMX-SP05","47069","updated","no","256","2770"
"HSP-060","Von 2-Plate Electric Coil Cooker VCST-200FE","47070","updated","no","243","2766"
"HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","47071","updated","no","255","2778"
"HSP-062","Hisense Microwave Oven 20L HM720G7H","47072","updated","no","218","2721"
"HSP-063","AiLyons Electric Blender 1.5L AL-BL150","47050","updated","no","215","2737"
"HSP-064","AiLyons Stand Mixer 5L AL-SM500","47074","updated","no","214","2704"
"HSP-065","Electromate Electric Kettle 1.8L Stainless EM-EK18S","47075","updated","no","257","2785"
"HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","47076","updated","no","255","2740"
"HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","47051","updated","no","224","2724"
"HSP-068","AiLyons Air Purifier HEPA 3-Stage AL-AP360","47078","updated","no","250","2789"
"HSP-069","LG Home Theatre System 2.1 DH3140S 300W","47079","updated","no","215","2667"
"HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","47080","updated","no","224","2688"
"HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","47081","updated","no","286","2870"
